Gruppo_1,Gruppo_2,Media_Gruppo_1,Media_Gruppo_2,Differenza_medie,t-statistic,p-value,p-value_Bonferroni,Significativo_Bonferroni
studenti - secondaria,studenti - universitari,6.411458333333333,2.5344827586206895,3.8769755747126435,4.2725392404005955,2.6874270531116552e-05,0.008333333333333333,True
studenti - secondaria,insegnanti - non in servizio,6.411458333333333,2.090909090909091,4.320549242424242,3.4800205855543656,0.0006198071229620206,0.008333333333333333,True
studenti - secondaria,insegnanti - in servizio,6.411458333333333,1.8519553072625698,4.559503026070763,6.392336169025888,4.0756416257433207e-10,0.008333333333333333,True
studenti - universitari,insegnanti - non in servizio,2.5344827586206895,2.090909090909091,0.4435736677115987,0.9319892990827542,0.35217160585463547,0.008333333333333333,False
studenti - universitari,insegnanti - in servizio,2.5344827586206895,1.8519553072625698,0.6825274513581197,2.0645489468241447,0.03945162479749295,0.008333333333333333,False
insegnanti - non in servizio,insegnanti - in servizio,2.090909090909091,1.8519553072625698,0.23895378364652098,0.5138983996928903,0.6075725019067624,0.008333333333333333,False
