Gruppo,N_STEM,Media_STEM,SD_STEM,N_Umanistiche,Media_Umanistiche,SD_Umanistiche,Differenza_medie,t-statistic,p-value,Significativo_0.05,Significativo_0.01,Significativo_0.001
insegnanti - non in servizio,65,2.276923076923077,5.775778335827596,15,2.3333333333333335,2.7167908239230307,-0.056410256410256654,-0.03676197334742078,0.970768716785483,False,False,False
insegnanti - in servizio,149,1.74496644295302,2.460922597858394,99,2.3434343434343434,6.189460456129612,-0.5984679004813234,-1.0615423387752534,0.28948454483142166,False,False,False
