GruppoDettaglio,Area_norm,total,users,perc_users_of_area
studenti - secondaria,STEM,0,0,
studenti - secondaria,Umanistiche,0,0,
studenti - universitari,STEM,0,0,
studenti - universitari,Umanistiche,0,0,
insegnanti - non in servizio,STEM,66,35,53.0
insegnanti - non in servizio,Umanistiche,14,8,57.1
insegnanti - in servizio,STEM,150,95,63.3
insegnanti - in servizio,Umanistiche,99,54,54.5
studenti - primaria,STEM,0,0,
studenti - primaria,Umanistiche,0,0,
