GruppoDettaglio,conteggio,media,mediana,q1,q3
studenti - secondaria,96,6.411458333333333,2.0,1.0,5.0
studenti - universitari,174,2.5344827586206895,2.0,0.0,4.0
insegnanti - non in servizio,98,2.061224489795918,1.0,0.0,2.0
insegnanti - in servizio,350,1.8314285714285714,1.0,0.0,2.0
