Gruppo_1,Gruppo_2,Media_Gruppo_1,Media_Gruppo_2,Differenza_medie,t-statistic,p-value,p-value_Bonferroni,Significativo_Bonferroni
studenti - secondaria,studenti - universitari,6.411458333333333,2.5344827586206895,3.8769755747126435,4.2725392404005955,2.6874270531116552e-05,0.008333333333333333,True
studenti - secondaria,insegnanti - non in servizio,6.411458333333333,2.061224489795918,4.350233843537415,3.4871238487451635,0.0006051787022396798,0.008333333333333333,True
studenti - secondaria,insegnanti - in servizio,6.411458333333333,1.8314285714285714,4.580029761904761,6.3549397875859786,5.176144715959654e-10,0.008333333333333333,True
studenti - universitari,insegnanti - non in servizio,2.5344827586206895,2.061224489795918,0.4732582688247713,0.9904047736376853,0.32286304413713285,0.008333333333333333,False
studenti - universitari,insegnanti - in servizio,2.5344827586206895,1.8314285714285714,0.7030541871921181,2.1079889887071914,0.035508019205351175,0.008333333333333333,False
insegnanti - non in servizio,insegnanti - in servizio,2.061224489795918,1.8314285714285714,0.2297959183673468,0.48751918530875044,0.6261299934844633,0.008333333333333333,False
